column,key,value
OECD,0,Non-OECD 
OECD,1,OECD
CNT,ARG,Argentina                         
CNT,AUS,Australia                        
CNT,AUT,Austria                          
CNT,AZE,Azerbaijan                       
CNT,BEL,Belgium                          
CNT,BGR,Bulgaria                         
CNT,BRA,Brazil                           
CNT,CAN,Canada                           
CNT,CHE,Switzerland                      
CNT,CHL,Chile                            
CNT,COL,Colombia                         
CNT,CZE,Czech Republic                   
CNT,DEU,Germany                          
CNT,DNK,Denmark                          
CNT,ESP,Spain                            
CNT,EST,Estonia                          
CNT,FIN,Finland                          
CNT,FRA,France                           
CNT,GBR,United Kingdom                   
CNT,GRC,Greece                           
CNT,HKG,Hong Kong-China                  
CNT,HRV,Croatia                          
CNT,HUN,Hungary                          
CNT,IDN,Indonesia                        
CNT,IRL,Ireland                          
CNT,ISL,Iceland                          
CNT,ISR,Israel                           
CNT,ITA,Italy                            
CNT,JOR,Jordan                           
CNT,JPN,Japan                            
CNT,KGZ,Kyrgyzstan                       
CNT,KOR,Korea                            
CNT,LIE,Liechtenstein                    
CNT,LTU,Lithuania                        
CNT,LUX,Luxembourg                       
CNT,LVA,Latvia                           
CNT,MAC,Macao-China                      
CNT,MEX,Mexico                           
CNT,MNE,Montenegro                       
CNT,NLD,Netherlands                      
CNT,NOR,Norway                           
CNT,NZL,New Zealand                      
CNT,POL,Poland                           
CNT,PRT,Portugal                         
CNT,QAT,Qatar                            
CNT,ROU,Romania                          
CNT,RUS,Russian Federation               
CNT,SRB,Serbia                           
CNT,SVK,Slovak Republic                  
CNT,SVN,Slovenia                         
CNT,SWE,Sweden                           
CNT,TAP,Chinese Taipei                   
CNT,THA,Thailand                         
CNT,TUN,Tunisia                          
CNT,TUR,Turkey                           
CNT,URY,Uruguay                          
CNT,USA,United States                   
	country,031,Azerbaijan                      
	country,032,Argentina                       
	country,036,Australia                       
	country,040,Austria                         
	country,056,Belgium                         
	country,076,Brazil                          
	country,100,Bulgaria                        
	country,124,Canada                          
	country,152,Chile                           
	country,158,Chinese Taipei                  
	country,170,Colombia                        
	country,191,Croatia                         
	country,203,Czech Republic                  
	country,208,Denmark                         
	country,233,Estonia                         
	country,246,Finland                         
	country,250,France                          
	country,276,Germany                         
	country,300,Greece                          
	country,344,Hong Kong-China                 
	country,348,Hungary                         
	country,352,Iceland                         
	country,360,Indonesia                       
	country,372,Ireland                         
	country,376,Israel                          
	country,380,Italy                           
	country,392,Japan                           
	country,400,Jordan                          
	country,410,Korea                           
	country,417,Kyrgyzstan                      
	country,428,Latvia                          
	country,438,Liechtenstein                   
	country,440,Lithuania                       
	country,442,Luxembourg                      
	country,446,Macao-China                     
	country,484,Mexico                          
	country,499,Montenegro                      
	country,528,Netherlands                     
	country,554,New Zealand                     
	country,578,Norway                          
	country,616,Poland                          
	country,620,Portugal                        
	country,634,Qatar                           
	country,642,Romania                         
	country,643,Russian Federation              
	country,688,Serbia                          
	country,703,Slovak Republic                 
	country,705,Slovenia                        
	country,724,Spain                           
	country,752,Sweden                          
	country,756,Switzerland                     
	country,764,Thailand                        
	country,788,Tunisia                         
	country,792,Turkey                          
	country,826,United Kingdom                  
	country,840,United States                   
	country,858,Uruguay                         
SUBNATIO,03100,Azerbaijan                                                             
SUBNATIO,03200,Argentina                                                              
SUBNATIO,03600,Australia                                                              
SUBNATIO,04000,Austria                                                                
SUBNATIO,05601,Belgium: Flemish region                                                
SUBNATIO,05699,Belgium: French & German regions (not adjudicated)                     
SUBNATIO,07600,Brazil                                                                 
SUBNATIO,10000,Bulgaria                                                               
SUBNATIO,12400,Canada                                                                 
SUBNATIO,15200,Chile                                                                  
SUBNATIO,15800,Chinese Taipei                                                         
SUBNATIO,17000,Colombia                                                               
SUBNATIO,19100,Croatia                                                                
SUBNATIO,20300,Czech Republic                                                         
SUBNATIO,20800,Denmark                                                                
SUBNATIO,23300,Estonia                                                                
SUBNATIO,24600,Finland                                                                
SUBNATIO,25000,France                                                                 
SUBNATIO,27600,Germany                                                                
SUBNATIO,30000,Greece                                                                 
SUBNATIO,34400,Hong Kong-China                                                        
SUBNATIO,34800,Hungary                                                                
SUBNATIO,35200,Iceland                                                                
SUBNATIO,36000,Indonesia                                                              
SUBNATIO,37200,Ireland                                                                
SUBNATIO,37600,Israel                                                                 
SUBNATIO,38001,Italy: Region 1                                                         
SUBNATIO,38002,Italy: Region 2                                                         
SUBNATIO,38003,Italy: Region 3                                                         
SUBNATIO,38004,Italy: Region 4                                                         
SUBNATIO,38005,Italy: Region 5                                                         
SUBNATIO,38006,Italy: Region 6                                                         
SUBNATIO,38007,Italy: Region 7                                                         
SUBNATIO,38008,Italy: Region 8                                                         
SUBNATIO,38009,Italy: Region 9                                                         
SUBNATIO,38010,Italy: Region 10                                                        
SUBNATIO,38011,Italy: Region 11                                                        
SUBNATIO,38012,Italy: Region 12                                                        
SUBNATIO,38013,Italy: Region 13                                                        
SUBNATIO,38099,Italy: Region 14 (not adjudicated)                                      
SUBNATIO,39200,Japan                                                                  
SUBNATIO,40000,Jordan                                                                 
SUBNATIO,41000,Korea                                                                  
SUBNATIO,41700,Kyrgyzstan                                                             
SUBNATIO,42800,Latvia                                                                 
SUBNATIO,43800,Liechtenstein                                                          
SUBNATIO,44000,Lithuania                                                              
SUBNATIO,44200,Luxembourg                                                             
SUBNATIO,44600,Macao-China                                                            
SUBNATIO,48400,Mexico                                                                 
SUBNATIO,49900,Montenegro                                                             
SUBNATIO,52800,Netherlands                                                            
SUBNATIO,55400,New Zealand                                                            
SUBNATIO,57800,Norway                                                                 
SUBNATIO,61600,Poland                                                                 
